id,korean,english
1,내 삶의 목적은 무엇인가?,What is your purpose in life?
2,사람은 변할 수 있을까?,Can people change?
3,현재 읽는 글이나 책이 있다면?,What are you reading right now?
4,내 삶에서 가장 결별하고 싶은 것은?,Is there something you want to discard in your life?
5,가장 최근에 방문한 식당은? 무엇을 먹었는가?,What was the last restaurant you went to? What did you have there?
6,오늘 하루가 힘들었던 이유는 ……… (이)다.,Today was tough because……
7,나는 운이 좋은 편이라고 생긱하는가?,Do you think you're lucky? How so?
8,계속 머릿속에 맴도는 노래가 있다면?,What song is stuck in your head?
9,오늘은 평범한 하루였는가? 그렇거나 그렇지 않은 이유는?,Was today typical? Why or why not?
10,내 인생을 바꿀 만한 영감을 준 사람이 있다면?,Who gave you life-changing advice?
11,나는 오늘 ……. 잃었다.,Today you lost ……… .
12,가장 좋아하는 액세서리는?,What's your favorite accessory?
13,다음에 여행하고 싶은 곳운 어디인가?,Where do you want to travel next?
14,나는 이끄는 쪽인가 따르는 쪽인가?,Are you a leader or a follower?
15,가장 자신 있게 만들 수 있는 요리는?,Name one food you can cook with complete confidence?
16,빌리거나 빌려준 돈이 있는가?,Do you owe someone money? Does someone owe you?
17,오늘 입은 옷차림 중에서 가장 오래된 것은?,What’s the oldest thing you're wearing today?
18,최근 꾼 꿈 중에 인상적인 것은?,Did you have any memorable dreams  recently?
19,편생 한 사람만 사랑하면서 살 수 있다고 생각하는가?,Is it possible to love one person for the rest of your life?
20,앙심을 품고 있는 대상이 있는가? 무슨 일 때문인가?,Are you holding a grudge? About?
21,몹시 기다려지는 일이 있는가?,Is there any event you have been eagerly awaiting?
22,"안전을 추구하는가, 모험을 추구하는가?",Are you seeking comfort or adventure?
23,휴식이 필요하다고 느끼는가? 무엇으로부터?,Do you need a break? From what?
24,만약 창업을 한다면 어떤 일을 하고 싶은가?,"If you were going to start your own company, what would it he?"
25,무엇이 나를 나답게 만드는가?,"What makes ""you"" you?"
26,오늘 나는 …… (이)가 좀 더 필요했다.,Today you needed more………. 
27,"오늘의 나를 예술 사조로 표현한다면? (초현실주의, 모더니즘, 다다이즘)","Which art movement best describes you today? (Surrealism, Modernism or Dadaism)"
28,짐이란 무엇이라고 생각하는가?,How do you describe home?
29,마자막으로 본 TV 프로그램은?,What was the last TV show you wantched?
30,오늘 있었던 일 중에서 지우고 싶은 기억이 있다면?,Did anything happen today that you want to forget?
31,긍정적으로 어떤 사람이 되고 싶은가?,What kind of person do you want to become?
32,내일 무엇을 할 계획인가?,What is your resolution for tomorrow?
33,누구와 함께 사는가?,Who do you live with?
34,오늘 하루 슬퍼할 일이 있었는가? 그 정도를 1에서 10으로 표현한다면?,"On a scale of one to ten, how sad are you? Why?"
35,지금 밖의 날씨는 ……………. (이)다,"Outside, the weather is ………….. ."
36,친구란 …………… (이)다.,A friend is ……… .
37,가장 위대하다고 생각하는 직업은?,What would be the greatest job you could think of having?
38,당장 갖고 싶은 세 가지가 있다면?,What are there things you want to have at this moment?
39,만 원을 가장 알차게 쓸 수 있는 방밥은 무엇일까?,"What would be the best way to spend 10,000 won?"
40,어제 몇 시에 잠자리에 들었는가?,What time did you go to sleep last night?
41,오늘 하루를 동물에 비유한다면? 그 이유는 무엇인가?,"If this day was an animal, which animal would it be?"
